Title	Date	Flavor Text	Collection Limit	Name	Description	Keywords	HP	Nemesis Icon	Setup	Game Text	Advanced	Set	Diff
Earth, Inc.	Sep 1996	RevoCorp -- the biotech/futuretech firm with questionable ethics and even more questionable funding -- created a massive mechano-siphon to draw energy from deep within the Earth. Akash'Bhuta is slumbering, but she feels the siphon activate above her. Her physical form needs rest, but she is not above using humanity's hubris against itself!	2	Akash'Mecha	Orderly Power Overcome by Chaos	Villain	165	[Akash'Mecha]	Shuffle and set the Akash'Bhuta deck in the Villain play area. Put both copies of Harsh Renewal under this card.	Whenever a Primeval Limb card would be destroyed, put it under this card instead. START PHASE Akash'Mecha deals the Hero target with the highest HP X lightning damage, where X is the number of cards under this card. END PHASE Akash'Mecha deals each target other than herself 2 energy damage. Each non-Hero target other than Akash'Mecha deals her 1 fixed melee damage.	END PHASE Move (H) minus 2 cards from the top of the Environment deck to under this card.	Core Game	
"La Gloire!"	Mar 2000	Ambuscade has tangled and tangoed with some of the toughest heroes the multiverse has to offer. He's not had much in the way of utter victory, but he's always left an impression, one way or another. But now, he's out for glory! The Prime Wardens receive an impeccably penned handwritten letter, informing them that they have the honor of being hunted by Ambuscade. In long form, he explains when and where his first attack will be, and that he is going to win. And then, he does so.	2	Vainglorious Ambuscade	Glory in Battle	Villain	60	The Argent Adept Fanatic Captain Cosmic Tempest Haka	Shuffle and set the Ambuscade deck in the Villain play area.	After Vainglorious Ambuscade deals damage to a Hero character, put 1 token here. If there are ever 30 or more tokens here, Ambuscade has achieved La Gloire! Game Over. Whenever Ambuscade would [flip], he regains (H) HP and deals the Hero target with the lowest HP 2 projectile damage instead. START PHASE Destroy 1 Villain Device card. If a card was destroyed this way, Vainglorious Ambuscade deals the Hero target with the highest HP (H) fire damage. END PHASE Vainglorious Ambuscade deals the (H) minus 1 Hero targets with the highest HP 3 melee damage each.	END PHASE 1 Hero discards 2 cards. Vainglorious Ambuscade deals the (H) minus 2 Hero targets with the highest HP 2 energy damage each.	Rook City Renegades	
The Strength of the Wolf	Apr 2011	Magistra Damaris has been ordered by Blood Countess Bathory to keep a short leash on Apex's pack. Damaris is more than happy to do so, but she does have something of a soft spot for the hairy creatures. She wants them to thrive, and is not above magical means of encouraging their progress. Empowering bloodgems with dark magic to augment the pack, Damaris drives the wolves into battle, with their very pulse pounding a word into their lupine minds -- obey!	2	Blood-Leashed Apex	Blood Pact for the Blood Pack	Villain, Werewolf	60	Alpha	Shuffle and set the Apex deck in the Villain play area.	-1 damage dealt to Blood-Leashed Apex. After a Werewolf card is played, destroy 1 Hero Ongoing card. After a Werewolf card is destroyed, discover 1 Villain Ongoing card. START PHASE If Magistra Damaris is not in play, summon Magistra Damaris. Magistra Damaris deals the target other than herself with the lowest HP 3 infernal damage. If that target was a Hero character, play the top card of the Villain deck. END PHASE Blood-Leashed Apex deals the Hero target with the highest HP 2 melee damage and 2 infernal damage.	After Magistra Damaris deals damage to a non-Villain target, +1 damage dealt to that target until the next Villain START PHASE.	Rook City Renegades	
Mad Bomber Blade	Mar 1975	Baron Blade has been counted as deceased ever since his ill-fated attack on Megalopolis. So, when his broadcasts appeared on all the TV sets in Megalopolis, threatening explosions and destruction, it was a shock to everyone, especially the heroes. You must find the Baron and avoid his explosives to save the city, and yourselves!	1	Mad Bomber Baron Blade	Deranged Demolitionist	Villain	60	Legacy	Shuffle and set the Baron Blade deck in the Villain play area. Shuffle the top (H) minus 2 cards of the Villain deck into the Environment deck. Shuffle the Environment deck until the top card of the Environment deck is not a Villain card.	Whenever Baron Blade would play a target card, shuffle it into the Environment deck instead. Whenever the top card of the Environment deck is a Villain card, Baron Blade deals each non-Villain target 2 projectile damage and 2 fire damage. Then, put that card under this card. START PHASE If there are 12 minus (H) cards under this card, too much damage has been dealt by Baron Blade's bombs, wreaking havoc and causing untold devastation. Game Over. Otherwise, discard the top card of the Environment deck. END PHASE Shuffle the top card of the Villain deck into the Environment deck.	END PHASE Baron Blade deals the Hero target with the highest HP X irreducible cold damage, where X is the number of cards under this card plus 1.	Core Game	
Sunrise	Nov 1999	Citizen Dawn appears in Megalopolis, accompanied by a more powerful set of Citizens than ever seen before! But her new allies aren't even the key to her plot -- Citizen Dawn knows the solar eclipse is upon us, and she intends to pull on its power to increase her abilities by several orders of magnitude! The ultimate Citizen Dawn story is here...	2	Sunrise Citizen Dawn	Merged with the Solar Eclipse	Villain, Citizen	100	Expatriette	Shuffle and set the Citizen Dawn deck in the Villain play area. Summon 1 Channel the Eclipse. Discover (H) minus 2 Citizen cards.	Villain Ongoing cards are indestructible. After a Citizen card is destroyed, bury 1 Villain Ongoing card. START PHASE If there are no Villain Ongoing cards in play, discover 1 Ongoing card. END PHASE Citizen Dawn deals the Hero target with the highest HP X radiant damage, where X is the number of Citizen cards in play. Then, discover 1 Citizen card. If no Citizen cards are played this way, shuffle the Villain trash into the Villain deck.	After a Villain Ongoing card is played, Citizen Dawn deals each non-Villain target 2 radiant damage.	Core Game	
A Winter's Engagement	Dec 2011	After years of entitled demands from greedy humans, the fey-court has had enough. The Dagda and the Morrigan gird themselves for war, and they kick off this war by lighting a colossal Yule Log in the fey world -- with the lighting of the log, the sun goes out in our world. Then, the fey armies cut through the veil into this sudden darkness, intent on taking back the fruits of their labor. It would take a joining between mortals and fey to prevent the horrors of the fey war.	2	War-Girded Dagda & Morrigan	Yule-Bright Conquerors	Villain	120	The Harpy [War-Girded Dagda and Morrigan]	Shuffle and set the Fey-Court deck in the Villain play area. Discover (H) minus 1 Villain targets.	Whenever a token would be added to or removed from a Villain character card or a Villain character card would [flip], War-Girded Dagda and Morrigan deals the Hero target with the highest HP 2 radiant damage instead. Whenever a Bond card would be played during the Villain turn, discard it instead and each Hero discards 1 card. Each Hero gains this Power: POWER: This Hero character deals themself 2 fixed infernal damage. Discover 1 Bond card from the Villain deck. END PHASE The Villain target with the lowest HP deals each Hero target 2 infernal damage. Then, activate the END PHASE effect on 1 Bond card.	START PHASE If no Heroes used the power on this card during the previous round, War-Girded Dagda and Morrigan deals the Hero target with the highest HP 2 melee damage and 2 cold damage.	Rook City Renegades	
Diamonds Are Forever	Sep 1993	Faye Diamond's grandfather Joe Diamond passed down his knowledge, home, and a few handy relics, helping her become the hero NightMist, even from beyond the grave. After being rebuffed from this realm so many times, GloomWeaver now has a new plot: to use the trapped soul of Joe Diamond to enter this realm and possess his followers. In a time when NightMist does not have her powers, she is haunted at night by the screams of her grandfather.	3	Soultaker GloomWeaver	Wielding the Diamond Soul	Villain	-	NightMist	Shuffle and set the GloomWeaver deck in the Villain play area. Remove all Relic cards from the Villain deck. Discover (H) minus 2 Chosen cards. Put a token on the Villain target with the highest HP.	The target with the token is POSSESSED. The POSSESSED target is a character card, counts as GloomWeaver, and is NightMist's nemesis. -1 damage dealt to the POSSESSED target. Whenever the POSSESSED target would be destroyed, put it under this card. Then, move the token to the non-Hero target with the highest HP. START PHASE If there are (H) plus 2 or more cards under this card, you prevented GloomWeaver from taking form. You win! Otherwise, discover 1 Villain target and move the token to the non-Hero target with the highest HP. END PHASE The POSSESSED target deals the (H) minus 2 Hero targets with the highest HP X infernal damage each, where X is the number of cards under this card.	After the token is put on a target, each Hero target deals itself 1 fixed psychic damage.	Rook City Renegades	
Strike Force Invasion	Mar 1999	Jalton Kav'Lon -- the brilliant yet unpowered Thorathian military leader known as "Censor" -- has rallied an elite strike force of Thorathian combatants. They take their dropship to the planet Earth, seeking to exact their revenge on the people who took their most revered Grand Warlord from them. Jalton Kav'Lon specifically has it out for the hero Sky-Scraper...	3	Censor	Pin-Point Accurate Combatant	Villain, Thorathian	30	[Censor]	Shuffle and set the Grand Warlord Voss deck in the Villain play area. Discover 1 Thorathian card and 1 Device card.	-1 damage dealt to Thorathian cards. Whenever a Gene-Bound card would be played, discard it instead and Censor deals the (H) minus 2 Hero targets with the lowest HP 2 melee damage each. After Censor is dealt damage, reveal the top card of the Villain deck. If it is a Thorathian card, play it. Otherwise, discard it and Censor regains 1 HP. END PHASE Censor deals the (H) minus 2 Hero targets with the highest HP 2 toxic damage.	If there are any Thorathian cards in play other than Censor, Censor is immune to damage.	Core Game	
Waves of Fortune	Apr 2007	Kismet has been in and out of so many prisons, holding cells, lock-ups, and lockdowns that she's lost count. Then, she got sent to the Block -- an extra-dimensional prison operated by F.I.L.T.E.R. beyond the bounds of time and space. It took her a year there to finally stage a riot, shut down the power suppressors, and escape back into reality via a portal from the Block to the ruins of Atlantis. Now, from her watery seat of power, she's making a wide variety of unnatural water-themed disasters all over the world!	2	Empowered Kismet	Brimming with Atlantean Power	Villain	99	Setback	Shuffle and set the Kismet deck in the Villain play area. Remove The Adhin Talisman from the game.	Whenever Empowered Kismet would be dealt damage by an Environment target, prevent it and discover 1 Unlucky card. After a Lucky card is played, destroy 1 Unlucky card in each Hero play area. START PHASE Play the top card of the Environment deck. If a target is played this way, shuffle the Villain trash into the Villain deck and discover 1 Unlucky card. Otherwise, Kismet deals the Hero target with the highest HP (H) energy damage. END PHASE Each Hero target in a play area with no Unlucky cards deals itself 2 fixed energy damage.	After a non-target Environment card is played, play the top card of the Villain deck.	Rook City Renegades	
A Murder Most Fowl	Nov 2007	Lillian Corvus has taken the name "The Harpy" and fights alongside the hero team Dark Watch, mostly operating in the Rook City area. So, when the Matriarch shows up and unleashes her flocks on unsuspecting citizens, the heroes know that this must be a fleshchild, made by the nefarious Biomancer! Can this clone be revealed for what it really is, before the reputation of the Harpy is forever ruined?	2	The Mocktriarch	Convincing Conniving Clone	Villain	117	Tachyon	Shuffle and set the Matriarch deck in the Villain play area. Summon Mask of the Matriarch and 2 Carrion Fields. Remove both Carrion Fields from the game.	Mask of the Matriarch is indestructible. Whenever Mask of the Matriarch is dealt damage, reduce that damage to 1. While Mask of the Matriarch is in play, Cohort cards have no game text. When Mask of the Matriarch is reduced to 0 HP, remove it from the game. Replace "the Matriarch" on Cohort cards with "the Hero with the lowest HP". Whenever a Cohort card would deal damage, redirect that damage to The Mocktriarch. START PHASE The Mocktriarch deals each Hero character and each Cohort card 2 psychic damage. END PHASE The Mocktriarch deals the Hero target with the highest HP (H) psychic damage.	+1 damage dealt by The Mocktriarch if Mask of the Matriarch is not in play. END PHASE Mask of the Matriarch regains (H) minus 1 HP.	Core Game	
