Deck	Title	HP	Nemesis Icon	Keywords	Game Text	Flavor Text	Attribution	Qty	Set	Decks: 11
Diamond Manor	Arcane Observatory	-	-	Ongoing	After this card is played, each target deals itself 1 fixed psychic damage and 1 fixed radiant damage. END PHASE 1 Hero may discard 2 cards. If they do, they may either salvage 1 card or destroy 1 Environment Relic card.	"I can feel the bridge between this timeline and many others."	NightMist, The Curse #3	1	Rook City Renegades	Diamond Manor
Diamond Manor	Balov's Clock	-	-	Relic	When this card is destroyed, go back to the START PHASE of the current turn. END PHASE If this card is not in the Environment play area, destroy this card.	"The nature of time is malleable, and this clock -- and its original owner -- understood that nature far better than you or I ever will."	Master Xian Niu, Arcane Tales Vol. 2 #540	1	Rook City Renegades	Diamond Manor
Diamond Manor	The Bloodless Reliquary	-	-	Relic	+1 damage dealt by targets in this play area. START PHASE Each target in this play area regains 1 HP. END PHASE Destroy 1 target in this play area with 3 or fewer HP. Then, move this card to the play area with the target with the lowest HP.	"I felt it reaching through my veins, like frost creeping across a window, or vines overtaking ruins. It wanted to control everything I am."	The Wraith, Mystery Comics Vol. 2 #186	1	Rook City Renegades	Diamond Manor
Diamond Manor	Brigit, the Refugee	9	-	Pixie	END PHASE The Hero with the fewest cards in hand draws 1 card. The Hero character with the lowest HP regains 2 HP. Move 1 Relic card from the Environment play area to the play area with the target with the highest HP.	"I clean and care for items of great power. Want to see? They're all quite interesting! I can go get more, if you like."	Brigit, NightMist #46	1	Rook City Renegades	Diamond Manor
Diamond Manor	Diamond Book of Monsters	-	-	Relic	If this card is played or revealed during a Hero turn, put this card in a Hero play area. While this card is in a Hero play area, +1 damage dealt by Hero targets. If this card enters the Villain play area, each Hero character deals themself 2 fixed psychic damage. Then, destroy this card.	"This is your birthright, Faye. Your father kept it from you for so long, but the truth is now yours to act upon."	Joe Diamond, The Curse #4	1	Rook City Renegades	Diamond Manor
Diamond Manor	"The Edifice of Respite"	-	-	Relic	Whenever an Ongoing card in this play area would be destroyed, prevent that destruction and put 1 token on this card. When this card is destroyed, bury 1 Hero Ongoing card, 1 Villain Ongoing card, and 1 Environment Ongoing card. END PHASE If there are 2 or more tokens on this card, destroy this card.	"They say he never wanted to be far from his creations. Now, he resides within them forever."	NightMist, Rook City Renegades #143	1	Rook City Renegades	Diamond Manor
Diamond Manor	Frictionless Coffer	-	-	Relic	After a Villain target is destroyed, put it under this card if there are no cards under this card. START PHASE If this card is in a Hero play area, bury the card under this card. If this card is in a Villain play area, play the card under this card.	"Careful, Pete. I mean, gotta be careful with everything in this place, but that looks like something we don't want to break."	Expatriette, Dark Watch Vol. 1 #7	1	Rook City Renegades	Diamond Manor
Diamond Manor	Kuranchu, the Groundskeeper	13	-	Kappa	After this card is played, discover 1 Relic card, playing it in the Hero play area with the fewest cards. END PHASE Each Hero may discard any number of cards. If (H) cards are discarded this way, move an Environment Relic card from one play area to another.	"Watch where yer walkin'! Stay outta the cucumber patch! People got no respect for the hard work I put in around this place."	Kuranchu, Tome of the Bizarre Vol. 4 #14	1	Rook City Renegades	Diamond Manor
Diamond Manor	Locke, the Afflicted	11	-	Werewolf	-1 damage dealt to this card by targets with fewer HP than this card. END PHASE If there are any Relic cards in the Villain play area, this card deals the target with the highest HP 3 melee damage.	"You gotta set me free. Don't worry! You think a werewolf hunter like me is gonna let a little bite get to me? Not a chance!"	Locke, Rook City Renegades #82	1	Rook City Renegades	Diamond Manor
Diamond Manor	Maddening Layout	-	-	One-Shot	Discover 1 Ongoing card. Discover 1 Relic card, playing it in the Villain play area.	"Babe, where'd you go? I thought I took a left turn at the top of the stairs, but there was just a wall there! Are the walls moving?"	Setback, Dark Watch Vol. 1 #7	2	Rook City Renegades	Diamond Manor
Diamond Manor	Mystic Library	-	-	Ongoing	After this card is played, reveal the top card of each non-Environment deck in turn order. Play any Ongoing cards revealed this way. Discard the other revealed cards. END PHASE Discover 1 Ongoing card from the deck in the play area with the fewest cards in play.	"NightMist always says that more time in study is a good thing. I'm just branching out on what kinds of things I'm studying!"	The Harpy, Dark Watch Vol. 1 #11	1	Rook City Renegades	Diamond Manor
Diamond Manor	Prison of the Inner Eye	-	-	Relic	START PHASE If there are no targets in this play area with 5 or fewer HP, move this card to the play area with the target with the lowest HP. END PHASE Each target in this play area deals itself 2 fixed psychic damage. Then, move this card to the play area with the target with the lowest HP.	"What's this? That stellar beast must have done more of a number on me than I thought! Maybe I'll go take a quick lie down..."	Captain Cosmic, Prime Wardens Vol. 1 #1	1	Rook City Renegades	Diamond Manor
Diamond Manor	Reagent Garden	-	-	Ongoing	After this card is played, each target regains 2 HP. END PHASE 1 Hero may discard up to 3 cards. For each card they discard this way, 1 target regains 2 HP.	"Now, Faye, you know as well as I do that tanacetum parthenium is just a fancy name for feverfew, and that it's perfectly safe as a tea."	The Scholar, Tome of the Bizarre Vol. 2 #230	1	Rook City Renegades	Diamond Manor
Diamond Manor	Relic Room	-	-	Ongoing	After this card is played, move 1 Environment Relic card in play to the Villain play area. END PHASE Discover 1 Relic card. 1 Hero character may deal themself 3 fixed psychic damage. If they take damage this way, move 1 Relic card from the Environment play area to their play area.	"My, my. I'm certain NightMist would be mortified to learn that someone with ill intent was in her home while she was indisposed."	The Seer, Tome of the Bizarre Vol. 2 #350	1	Rook City Renegades	Diamond Manor
Freedom Tower	Caspit's "Playground"	-	-	Ongoing, Room	Hero Ongoing cards gain the keyword "Item".	"Quiet! In fact, I'd recommend staying out entirely. I'm... creating."	Devra Caspit, Freedom Five #645	1	Core Game	Freedom Tower
Freedom Tower	Dr. Stinson's Secondary Lab	-	-	Ongoing, Room	END PHASE Each Hero reveals the top card of their deck and either discards it or replaces it.	"Sure, I could get to the Eaken-Rubendall labs in a few seconds, but sometimes I don't have a few seconds. Plus, no one touches my stuff here."	Dr. Meredith Stinson, Freedom Five #793	1	Core Game	Freedom Tower
Freedom Tower	Entry Point	-	-	Ongoing	After this card is played, destroy 1 Room card. +1 damage dealt by Villain targets.	"You thought you'd be safe in here? Bad news: the Fright Train is pulling into the station! All aboard!"	Fright Train, Freedom Five Annual #27	3	Core Game	Freedom Tower
Freedom Tower	Freedom Security Staff	4	-	Guards	This card counts as a Hero target. It is immune to damage dealt by Hero targets. START PHASE 1 Hero may discard 2 cards. If they do, destroy 1 Environment card. END PHASE This card deals the Villain target with the highest HP 2 lightning damage.	"Seriously, why does this place even need security? It's a building full of heroes! After one more round of patrols, I'm taking the rest of the night off."	Don Vickers, Freedom Five #511	2	Core Game	Freedom Tower
Freedom Tower	The Front Desk	-	-	Ongoing, Room	END PHASE Play the top card of the Environment deck.	"Welcome to the new Freedom Five headquarters! We're here to help. What can we do for you today?"	Aminia Twain, Freedom Five #510	1	Core Game	Freedom Tower
Freedom Tower	Frost's Cryo Chamber	-	-	Ongoing, Room	After an Item card is destroyed, the associated Hero draws 1 card. END PHASE Each target deals itself 1 fixed cold damage.	"Better comfortable in here than bored out there."	Ryan Frost, Freedom Five #631	1	Core Game	Freedom Tower
Freedom Tower	Ironclad Maintenance Bay	-	-	Ongoing, Room	END PHASE Each Hero may salvage 1 Item card.	"Don't mind me, folks. Just here to do another quick diagnostic on everything. Pull up the charts from yesterday, just to compare."	Lt. Tyler Vance, Freedom Five #529	1	Core Game	Freedom Tower
Freedom Tower	Legacy's Landing Pad	-	-	Ongoing, Room	END PHASE 1 Hero may collect 1 Ongoing card.	"Yeah, Dad, I know how to fly. I've been flying for years. I very rarely mess up and fly through solid objects!"	Felicia Parsons, America's Newest Legacy #500	1	Core Game	Freedom Tower
Freedom Tower	Medical Ward	-	-	Ongoing, Room	END PHASE Each target regains 1 HP.	"These medical bots are great, but did they have to be quite so... pink? I mean, I know that's your thing and all, but still."	Maia Montgomery, Justice Comics #612	1	Core Game	Freedom Tower
Freedom Tower	Mission Control	-	-	Ongoing, Room	END PHASE Each Hero reveals the top card of their deck. If the revealed card is a One-Shot card, discard that card. Otherwise, play it.	"Good morning, heroes! Another big day today, and there's no one I'd rather spend it with! Ready to get started?"	Paul Parsons, Freedom Five #577	1	Core Game	Freedom Tower
Freedom Tower	Training Simulator	-	-	Ongoing, Room	END PHASE Discover 1 target from the Villain deck. Then, 1 Hero may use 1 power.	"Well, well... another one? Quite the punishing training session, indeed! Only way to improve!"	Legacy, America's Finest Legacy #430	1	Core Game	Freedom Tower
Freedom Tower	The Wraith's Arsenal	-	-	Ongoing, Room	END PHASE Each Hero may draw 1 card. If all Heroes draw cards this way, destroy this card.	"That's the issue with projectiles. I'm constantly throwing away all my best stuff. I have to carry lots of extras."	The Wraith, Mystery Comics Vol. 2 #344	1	Core Game	Freedom Tower
Insula Primalis	Cornered Ankylosaurus	10	-	Dinosaur	-1 damage dealt to this card. END PHASE This card deals the 2 targets other than itself with the highest HP 3 melee damage.	"You think your armored hide will protect you? The fires of Ra cannot be extinguished!"	Ra, Arcane Tales Vol. 1 #94	2	Core Game	Insula Primalis
